com.samsung.shealth.cycle.daily_temperature,6293007,4
custom,discard_type,temperature_delta,update_time,create_time,temperature,extract_algo,deviceuuid,pkg_name,datauuid,day_time,excluded
be08e122-abfa-4596-9a47-76cd68a5aee3.custom.json,,-0.34,2025-03-09 12:28:24.721,2024-10-07 14:36:16.717,35.95,100,J+ZRiIffUm,com.sec.android.app.shealth,be08e122-abfa-4596-9a47-76cd68a5aee3,2024-10-07 00:00:00.000,,
f13492fc-e673-4f49-8d02-f677ff2d87e5.custom.json,,-0.09,2025-03-09 12:28:24.745,2024-10-08 18:49:42.946,36.2,100,J+ZRiIffUm,com.sec.android.app.shealth,f13492fc-e673-4f49-8d02-f677ff2d87e5,2024-10-08 00:00:00.000,,
45ca5155-bfd8-4b7f-a4c6-3e3c2f8e6784.custom.json,,-0.15,2025-03-09 12:28:24.797,2024-10-09 17:55:19.719,36.14,100,J+ZRiIffUm,com.sec.android.app.shealth,45ca5155-bfd8-4b7f-a4c6-3e3c2f8e6784,2024-10-09 00:00:00.000,,
f7c0ad46-3c97-42d1-924d-17ac7b8e95cd.custom.json,,-0.21,2024-10-10 18:16:20.933,2024-10-10 18:16:18.657,36.07,100,J+ZRiIffUm,com.sec.android.app.shealth,f7c0ad46-3c97-42d1-924d-17ac7b8e95cd,2024-10-10 00:00:00.000,,
0f75ac44-c191-4a64-8e4e-7a54e3e03e42.custom.json,,-0.21,2025-03-09 12:28:24.826,2024-10-10 18:16:19.979,36.07,100,J+ZRiIffUm,com.sec.android.app.shealth,0f75ac44-c191-4a64-8e4e-7a54e3e03e42,2024-10-10 00:00:00.000,,
7611c156-8075-4efa-93e9-5081e84c6575.custom.json,,-0.29,2025-03-09 12:28:24.856,2024-10-11 16:34:59.627,35.99,100,J+ZRiIffUm,com.sec.android.app.shealth,7611c156-8075-4efa-93e9-5081e84c6575,2024-10-11 00:00:00.000,,
aa6281f0-eb69-4fcb-a4f7-848024c84c65.custom.json,,-0.32,2025-03-09 12:28:24.895,2024-10-12 16:49:11.958,35.96,100,J+ZRiIffUm,com.sec.android.app.shealth,aa6281f0-eb69-4fcb-a4f7-848024c84c65,2024-10-12 00:00:00.000,,
09fef7e8-6fc0-4efa-805b-9a9252bf0bc6.custom.json,,-0.22,2025-03-09 12:28:24.916,2024-10-13 15:05:03.724,36.05,100,J+ZRiIffUm,com.sec.android.app.shealth,09fef7e8-6fc0-4efa-805b-9a9252bf0bc6,2024-10-13 00:00:00.000,,
41fff937-056c-4976-af11-2d1a1405d11f.custom.json,,-0.19,2025-03-09 12:28:24.937,2024-10-14 13:58:53.436,36.08,100,J+ZRiIffUm,com.sec.android.app.shealth,41fff937-056c-4976-af11-2d1a1405d11f,2024-10-14 00:00:00.000,,
a808f149-1a72-479f-a6d2-107cfa274f9e.custom.json,,-0.03,2025-03-09 12:28:24.957,2024-10-15 13:59:12.889,36.24,100,J+ZRiIffUm,com.sec.android.app.shealth,a808f149-1a72-479f-a6d2-107cfa274f9e,2024-10-15 00:00:00.000,,
4b286aa9-958a-428e-8ac1-06b73bcba43c.custom.json,,0.12,2025-03-09 12:28:24.982,2024-10-16 14:03:05.718,36.39,100,J+ZRiIffUm,com.sec.android.app.shealth,4b286aa9-958a-428e-8ac1-06b73bcba43c,2024-10-16 00:00:00.000,,
4da9fc6d-fd00-4bcf-a798-d201df68d4ca.custom.json,,0.16,2025-03-09 12:28:25.012,2024-10-18 14:22:48.502,36.43,100,J+ZRiIffUm,com.sec.android.app.shealth,4da9fc6d-fd00-4bcf-a798-d201df68d4ca,2024-10-17 00:00:00.000,,
fce9b9dc-dd66-4de6-9189-7396f98e8f56.custom.json,,0.25,2025-03-09 12:28:25.034,2024-10-18 14:22:48.515,36.52,100,J+ZRiIffUm,com.sec.android.app.shealth,fce9b9dc-dd66-4de6-9189-7396f98e8f56,2024-10-18 00:00:00.000,,
cd124259-a71a-430e-a468-0de29800b6f3.custom.json,,0.16,2025-03-09 12:28:25.070,2024-10-19 14:49:34.792,36.43,100,J+ZRiIffUm,com.sec.android.app.shealth,cd124259-a71a-430e-a468-0de29800b6f3,2024-10-19 00:00:00.000,,
aeae9d21-6a9c-4164-ab7e-a5be886048ad.custom.json,,0.15,2025-03-09 12:28:25.091,2024-10-20 15:03:24.517,36.43,100,J+ZRiIffUm,com.sec.android.app.shealth,aeae9d21-6a9c-4164-ab7e-a5be886048ad,2024-10-20 00:00:00.000,,
1759085a-f83f-4898-a6d9-c04c39b14b91.custom.json,,0.15,2025-03-09 12:28:25.113,2024-10-21 13:31:07.427,36.43,100,J+ZRiIffUm,com.sec.android.app.shealth,1759085a-f83f-4898-a6d9-c04c39b14b91,2024-10-21 00:00:00.000,,
